bar_code,title,price,cost_price,count
1721376,Молоко Эковакино ,100.0,83.0,0
6689,Капучино,180.0,0.0,558
1269254,облепиховый чай,126.0,105.0,0
1598759,кофе подарок,0.14802690583,0.0,44
72,Позиция по свободной цене,288.720653789,0.0,269
1514697,Круассан миндаль,163.481481481,133.0,5
2016524,Батончик PIKKI,100.0,0.0,7
1749069,молоко добавка,19.25,15.0,0
19087,Флэт Уайт,180.0,0.0,30
17328,Американо ,120.0,0.0,359
17330,Латте,180.0,0.0,54
1241641,Капучино малый,150.0,129.0,0
1111453,Сироп Карамель,30.6666666667,26.0,0
